                                                                     distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 1.8641163e-01; 9.1635619e-02; 0.0000000e+00; 2.2582595e-04; 1.0592892e+02; 0.0000000e+00; 1.1896528e-02
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 0.0000000e+00; 1.1394336e-05; 0.0000000e+00; 1.1394196e-05; 1.4191049e+00; 0.0000000e+00; 3.1663626e-01
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.5951619e-01; 4.6658044e-02; 0.0000000e+00; 1.2217128e-03; 2.3056797e+00; 0.0000000e+00; 1.8599137e-02
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 8.6043344e-04; 1.5741277e-02; 0.0000000e+00; 2.1818954e-04; 3.0275515e+02; 0.0000000e+00; 3.1622143e-01
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 2.4357513e-01; 1.0732046e-01; 0.0000000e+00; 2.9708154e-04; 6.8787460e+02; 0.0000000e+00; 7.0220843e-02
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 3.0372270e-01; 6.6641206e-02; 1.3546947e-03; 1.2341899e-03; 2.8916377e+02; 7.5951419e-01; 2.7280605e-01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 3.4610292e-01; 1.0455935e-01; 0.0000000e+00; 1.4363307e-02; 9.3119572e+01; 0.0000000e+00; 9.1424900e-01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 0.0000000e+00; 6.0142863e-04; 5.9295205e-04; 6.0147195e-04; 2.5614066e+01; 1.2894641e+01; 5.7156172e+00
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 7.6635654e+00; 3.7751514e-01; 0.0000000e+00; 7.2939833e-02; 4.3215451e+04; 0.0000000e+00; 1.4101933e+00
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 6.8572750e-02; 8.5108979e-03; 0.0000000e+00; 7.2938899e-03; 1.7735616e+02; 0.0000000e+00; 1.7126014e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 3.6486537e-01; 3.6595529e-02; 0.0000000e+00; 2.5807285e-03; 4.7681336e+02; 0.0000000e+00; 5.5440407e+00
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 2.8037780e-01; 4.1258705e-02; 1.1343301e-03; 9.7681450e-03; 4.3680110e+02; 9.1977876e-01; 3.1273072e+00
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 3.6057565e-01; 1.0404052e-01; 0.0000000e+00; 9.7807749e-03; 1.1111942e+02; 0.0000000e+00; 6.7502862e-01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 0.0000000e+00; 3.5581830e-03; 0.0000000e+00; 3.5575923e-03; 1.3309644e+02; 0.0000000e+00; 2.9691540e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 3.5330312e-01; 1.0644281e-01; 0.0000000e+00; 1.0968588e-01; 5.9565659e+01; 0.0000000e+00; 2.8884489e+00
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 1.3877504e+00; 1.5760443e-01; 0.0000000e+00; 5.3156763e-02; 1.7232596e+03; 0.0000000e+00; 5.6002831e+01
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 2.1754084e+00; 2.4285204e-01; 0.0000000e+00; 1.2036103e-01; 3.1447198e+03; 0.0000000e+00; 6.0433993e+01
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 5.2883100e-01; 2.0441888e-02; 3.0247064e-03; 2.7184431e-02; 5.6086745e+02; 4.3131835e+01; 1.6557185e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; 3.7391462e+00; 3.0247041e-01; 0.0000000e+00; 2.4364788e-01; 3.4700326e+03; 0.0000000e+00; 3.2310593e+01
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 5.2884212e-01; 5.5687017e-02; 0.0000000e+00; 1.4403257e-02; 9.5580414e+02; 0.0000000e+00; 3.7836623e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 9.0175789e-01; 6.0803858e-02; 1.3445336e-03; 5.4605265e-03; 6.7645468e+03; 2.7157555e+01; 4.6379674e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 2.6420205e+00; 2.8946094e-01; 0.0000000e+00; 9.1412882e-02; 2.5970557e+03; 0.0000000e+00; 3.3193363e+00
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.6507569e-01; 2.8476010e-02; 0.0000000e+00; 2.4757975e-02; 4.9622074e+02; 0.0000000e+00; 3.2902741e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 3.9474544e-03; 3.9427643e-02; 0.0000000e+00; 3.6822787e-02; 1.2745133e+02; 0.0000000e+00; 1.0434400e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.0523350e+00; 1.1846614e-01; 0.0000000e+00; 3.1042406e-02; 1.0841907e+03; 0.0000000e+00; 2.5407171e+00
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 1.7860343e+00; 1.3059907e-01; 0.0000000e+00; 1.0574345e-01; 2.2917321e+03; 0.0000000e+00; 1.5876702e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 4.9291324e-01; 3.2031552e-02; 2.7065977e-03; 1.2138070e-02; 1.3997012e+03; 3.6756879e+01; 6.4552941e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 4.6400998e+00; 3.4796477e-01; 0.0000000e+00; 2.0402138e-01; 5.0156106e+03; 0.0000000e+00; 1.0494564e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 9.0417343e-03; 3.7414351e-02; 0.0000000e+00; 2.8545241e-02; 4.0348457e+02; 0.0000000e+00; 4.1302790e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 9.5360846e-01; 1.3486169e-01; 0.0000000e+00; 4.7387997e-02; 1.6170207e+03; 0.0000000e+00; 3.0157394e+01
