;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RDD-5e13;1.07e-02;0.009;0.020;0.029;0.020;2259;1316;607;838
RDD-5e14;1.94e-02;0.031;0.017;0.038;0.017;2124;1420;718;904
RRDD-E-5e13-A;1.38e-01;0.130;0.110;0.185;0.110;445;205;116;131
RRDD-E-5e13-B;8.69e-02;0.023;0.059;0.112;0.059;591;345;183;220
RRDD-E-5e14-A;1.41e-01;0.016;0.048;0.068;0.048;248;163;78;104
RRDD-E-5e14-B;1.18e-02;0.008;0.023;0.042;0.023;521;304;146;193
RRDD-R-5e13-A;2.96e-01;0.041;0.106;0.159;0.106;3004;2273;1400;1448
RRDD-R-5e13-B;2.57e-02;0.013;0.033;0.060;0.033;2348;1488;757;948
RRDD-R-5e14-A;1.73e-01;0.012;0.051;0.091;0.051;2284;1753;1017;1117
RRDD-R-5e14-B;5.54e-01;0.077;0.007;0.012;0.007;1574;1270;582;809
RCDD-E-5e13;3.65e-02;0.399;0.307;0.186;0.307;254;155;87;99
RCDD-E-5e14;7.24e-02;1.114;0.873;0.714;0.873;48;32;17;20
RCDD-R-5e13;8.56e-02;0.507;0.358;0.238;0.358;328;226;130;144
RCDD-R-5e14;3.90e-02;1.071;0.867;0.713;0.867;69;46;25;29
RCDD-D-5e13-A;9.91e-02;0.057;0.221;7080.145;0.221;130;51;1;33
RCDD-D-5e13-B;5.01e-02;0.369;0.273;1.348;0.273;143;86;15;55
RCDD-D-5e13-C;3.68e-03;0.326;0.176;0.450;0.176;306;201;55;128
RCDD-D-5e14-A;1.13e-01;0.422;0.352;1909.485;0.352;55;12;0;8
RCDD-D-5e14-B;7.83e-02;0.172;0.572;1882.550;0.572;51;14;0;9
RCDD-D-5e14-C;6.28e-02;0.543;0.702;1727.312;0.702;36;18;0;12
